"","stid","lng","lat","wp90","wpc","wpmax","wh90","wh4mH","whmax","nc_ubedmean","Ubms","T1h","T2h"
"374","14009_22",145.808690635017,-16.1339554940058,2.47730463187433,366.384090947038,4.50688952956294,1.22717936019614,0,1.5559388850707,0.305712675650295,0.71,18.3,0
"375","14009_24",145.809226280556,-16.1338759829031,2.58345626372557,375.431888261663,4.68551298904101,1.24830759015276,0,1.58455044465093,0.312869447328311,0.72,20.5,0
"376","14009_25",145.809550090164,-16.1338447560464,2.72187640512435,389.216592696297,4.90572271325772,1.27753384985676,0,1.61856286206041,0.318372931111722,0.69,18.6,0
"377","14009_27",145.810167388296,-16.1339765718065,2.72187640512435,387.968506187363,4.90572271325772,1.27753384985676,0,1.61856286206041,0.246049734338321,0.61,9.7,0
"378","14009_29",145.810503262716,-16.1345049668386,3.39933547534365,468.902642847099,6.22632187051175,1.39648475649847,0,1.78225366078323,0.272493092485353,0.12,0,0
"379","14009_3",145.80649991875,-16.1307175025685,0.993880165426661,233.715876428327,1.50843068407436,0.853220219468392,0,1.0181477800633,0.0990138879529487,0.01,0,0
"380","14009_30",145.810596342553,-16.1347818960511,3.40138970939536,470.37100198687,6.22942201093241,1.39656107675602,0,1.78225366078323,0.309221938307153,0.06,0,0
"381","14009_7",145.806247394974,-16.1317828958456,1.25838245274819,273.977821218524,1.69572975900826,0.942307031092333,0,1.05593347910166,0.105415829079119,0.01,0,0
"382","14009_8",145.806189435185,-16.1321291470361,1.31170747822088,283.923484266106,1.87450521103571,0.954727474423491,0,1.09471041701767,0.126635441324842,0.02,0,0
"383","14009_9",145.806145264444,-16.1324398464435,1.50460319663834,317.261784636268,2.37510464875121,1.00793040842964,0,1.20613804947611,0.141878103799065,0.03,0,0
"384","14011_11",145.847198893791,-16.0724178117965,3.02978399499777,412.483472149426,4.82037933848433,1.32718455594987,0,1.57757614924287,0.203436882364759,0.05,0,0
"385","14011_12",145.847503456039,-16.072482418888,3.1456968233673,421.781474306902,4.93084975914307,1.34227013523016,0,1.59651867260684,0.197113523347082,0.04,0,0
"386","14011_14",145.847963667196,-16.0727904569303,3.24734226299541,427.232775308078,5.04116999178963,1.36139937445208,0,1.61675872528722,0.226423738021351,0.06,0,0
